key	en	ru	da	de	es	fi	fr	it	ja	ko	nl	no	pl	pt-BR	sv	tr	uk	zh	zh-Hant
tut.place_touch	Place button — the highlighted rack	Кнопка «поставить» — подсвеченный стеллаж	Sæt-knappen — den fremhævede reol	Ablegen-Taste — das markierte Regal	Botón Poner — la estantería resaltada	Aseta-painike — korostettu hyllykkö	Bouton Poser — le rayonnage en surbrillance	Pulsante Metti — lo scaffale evidenziato	「置く」ボタン — ハイライトされたラック	놓기 버튼 — 강조된 진열대	Plaatsknop — de gemarkeerde stelling	Sett-knappen — den markerte reolen	Przycisk Postaw — podświetlony regał	Botão colocar — a estante destacada	Ställ-knappen — den markerade hyllan	Koy düğmesi — vurgulanan raf ünitesi	Кнопка «поставити» — підсвічений стелаж	放置键 — 高亮的货架	放置鍵 — 標示的貨架
tut.take	{0} — pick up any car	{0} — взять любую машинку	Tag en tilfældig bil	Nimm irgendein Auto	Coge cualquier coche	Poimi mikä tahansa auto	Prends n'importe quelle voiture	Prendi un'auto qualsiasi	好きな車を拾おう	아무 차나 집어 보세요	Pak een willekeurige auto	Plukk opp hvilken som helst bil	Weź dowolny samochodzik	Pegar qualquer carrinho	Ta upp vilken bil som helst	Herhangi bir arabayı al	Взяти будь-яку машинку	拿起任意一辆车	拿起任何一台車
tut.take_touch	Take button — pick up any car	Кнопка «взять» — взять любую машинку	Tag-knappen — tag en tilfældig bil	Nehmen-Taste — nimm irgendein Auto	Botón Coger — coge cualquier coche	Ota-painike — poimi mikä tahansa auto	Bouton Prendre — prends n'importe quelle voiture	Pulsante Prendi — prendi un'auto qualsiasi	「取る」ボタン — 好きな車を拾う	잡기 버튼 — 아무 차나 집기	Pakknop — pak een willekeurige auto	Ta-knappen — plukk opp hvilken som helst bil	Przycisk Weź — weź dowolny samochodzik	Botão pegar — pegar qualquer carrinho	Ta-knappen — ta upp vilken bil som helst	Al düğmesi — herhangi bir arabayı al	Кнопка «взяти» — взяти будь-яку машинку	拾取键 — 拿起任意一辆车	拿取鍵 — 拿起任何一台車
tut.walk	{0} — walk around	{0} — походить	Gå rundt	Lauf herum	Camina un poco	Kävele ympäriinsä	Déplace-toi	Cammina in giro	歩いてみよう	걸어 다녀 보세요	Rondlopen	Gå rundt	Pochodź po okolicy	Andar por aí	Gå runt	Etrafta dolaş	Походити	四处走动	四處走動
tut.walk_touch	Left stick — walk around	Стик слева — походить	Venstre pind — gå rundt	Linker Stick — lauf herum	Stick izquierdo — camina un poco	Vasen sauva — kävele ympäriinsä	Stick gauche — déplace-toi	Levetta sinistra — cammina in giro	左スティック — 歩く	왼쪽 스틱 — 걷기	Linker stick — rondlopen	Venstre spak — gå rundt	Lewy drążek — pochodź po okolicy	Analógico esquerdo — andar por aí	Vänster spak — gå runt	Sol çubuk — etrafta dolaş	Стик зліва — походити	左摇杆 — 四处走动	左搖桿 — 四處走動
ui.ab1	Find	Поиск	Find	Finden	Buscar	Etsi	Trouver	Trova	探す	찾기	Zoek	Finn	Szukaj	Buscar	Hitta	Bul	Пошук	查找	尋找
ui.ab2	Auto-collect	Автосбор	Opsaml	Sammeln	Recoger	Autokeräys	Collecte	Raccolta	自動回収	자동 수집	Verzamel	Autosamling	Autozbieranie	Coleta	Autoplock	Oto toplama	Автозбір	自动收集	自動收集
ui.ab3	Rack	Стеллаж	Reol	Regal	Estantería	Hyllykkö	Rayonnage	Scaffale	ラック	진열대	Stelling	Reol	Regał	Estante	Hylla	Raf ünitesi	Стелаж	货架	貨架
ui.back	Back	Назад	Tilbage	Zurück	Atrás	Takaisin	Retour	Indietro	戻る	뒤로	Terug	Tilbake	Wstecz	Voltar	Tillbaka	Geri	Назад	返回	返回
ui.balance	Balance	Баланс	Saldo	Guthaben	Saldo	Saldo	Solde	Saldo	残高	잔액	Saldo	Saldo	Saldo	Saldo	Saldo	Bakiye	Баланс	余额	餘額
ui.buy	Buy	Купить	Køb	Kaufen	Comprar	Osta	Acheter	Compra	購入	구매	Kopen	Kjøp	Kup	Comprar	Köp	Satın al	Купити	购买	購買
ui.cancel	Cancel	Отмена	Afbryd	Abbrechen	Cancelar	Peruuta	Annuler	Annulla	キャンセル	취소	Annuleren	Avbryt	Anuluj	Cancelar	Avbryt	İptal	Скасувати	取消	取消
ui.cars	Cars	Машинки	Biler	Autos	Coches	Autot	Voitures	Auto	車	자동차	Auto's	Biler	Samochodziki	Carrinhos	Bilar	Arabalar	Машинки	车辆	車輛
ui.close	Close	Закрыть	Luk	Schließen	Cerrar	Sulje	Fermer	Chiudi	閉じる	닫기	Sluiten	Lukk	Zamknij	Fechar	Stäng	Kapat	Закрити	关闭	關閉
ui.collectibles	Canisters	Канистры	Dunke	Kanister	Bidones	Kanisterit	Bidons	Taniche	燃料缶	연료통	Jerrycans	Kanner	Kanistry	Galões	Dunkar	Bidonlar	Каністри	油桶	油桶
ui.controls	Controls	Управление	Styring	Steuerung	Controles	Ohjaus	Commandes	Comandi	操作	조작	Besturing	Kontroller	Sterowanie	Controles	Kontroller	Kontroller	Керування	操作	操作
ui.crates	Parts crates	Ящики запчастей	Reservedelskasser	Ersatzteilkisten	Cajones de piezas	Osalaatikot	Caisses de pièces	Cassette ricambi	パーツ箱	부품 상자	Onderdelenkisten	Delekasser	Skrzynki części	Caixas de peças	Reservdelslådor	Parça kasaları	Ящики запчастин	零件箱	零件箱
ui.hint	{0} take · {1} place/throw · {2} select · {3} menu	{0} взять · {1} поставить/бросить · {2} выбрать · {3} меню	{0} tag · {1} sæt/kast · {2} vælg · {3} menu	{0} nehmen · {1} ablegen/werfen · {2} wählen · {3} Menü	{0} coger · {1} poner/lanzar · {2} elegir · {3} menú	{0} ota · {1} aseta/heitä · {2} valitse · {3} valikko	{0} prendre · {1} poser/lancer · {2} choisir · {3} menu	{0} prendi · {1} metti/lancia · {2} scegli · {3} menu	{0} 取る · {1} 置く/投げる · {2} 選ぶ · {3} メニュー	{0} 잡기 · {1} 놓기/던지기 · {2} 선택 · {3} 메뉴	{0} pakken · {1} zetten/werpen · {2} kiezen · {3} menu	{0} ta · {1} sett/kast · {2} velg · {3} meny	{0} weź · {1} postaw/rzuć · {2} wybierz · {3} menu	{0} pegar · {1} colocar/jogar · {2} escolher · {3} menu	{0} ta · {1} ställ/kasta · {2} välj · {3} meny	{0} al · {1} koy/fırlat · {2} seç · {3} menü	{0} взяти · {1} поставити/кинути · {2} вибрати · {3} меню	{0} 拾取 · {1} 放置/扔出 · {2} 选择 · {3} 菜单	{0} 拿取 · {1} 放置/丟出 · {2} 選擇 · {3} 選單
ui.language	Language	Язык	Sprog	Sprache	Idioma	Kieli	Langue	Lingua	言語	언어	Taal	Språk	Język	Idioma	Språk	Dil	Мова	语言	語言
ui.max	Max	Макс.	Maks.	Max.	Máx.	Maks.	Max	Max	最大	최대	Max.	Maks	Maks.	Máx.	Max	Maks	Макс.	最大	最大
ui.music	Music	Музыка	Musik	Musik	Música	Musiikki	Musique	Musica	音楽	음악	Muziek	Musikk	Muzyka	Música	Musik	Müzik	Музика	音乐	音樂
ui.newgame	Reset progress	Сбросить прогресс	Nulstil fremskridt	Fortschritt zurücksetzen	Reiniciar progreso	Nollaa edistyminen	Réinitialiser la progression	Azzera progressi	進行をリセット	진행 초기화	Voortgang wissen	Nullstill fremgang	Resetuj postęp	Zerar progresso	Återställ framsteg	İlerlemeyi sıfırla	Скинути прогрес	重置进度	重設進度
ui.off	Off	Выкл	Fra	Aus	No	Pois	Non	No	オフ	끄기	Uit	Av	Wył.	Desligado	Av	Kapalı	Вимк	关	關
ui.on	On	Вкл	Til	An	Sí	Päällä	Oui	Sì	オン	켜기	Aan	På	Wł.	Ligado	På	Açık	Увімк	开	開
ui.pause	Pause	Пауза	Pause	Pause	Pausa	Tauko	Pause	Pausa	ポーズ	일시정지	Pauze	Pause	Pauza	Pausa	Paus	Duraklat	Пауза	暂停	暫停
ui.push_buy	Push buy	Нажми купить	Tryk på køb	Drück Kaufen	Pulsa Comprar	Paina Osta	Appuie sur Acheter	Premi Compra	「購入」を押そう	구매를 눌러 보세요	Druk op kopen	Trykk kjøp	Wciśnij Kup	Aperte comprar	Tryck på köp	Satın al'a bas	Натисни «Купити»	按下购买	按下購買
ui.reset_confirm	Reset all progress and start over?	Вы точно хотите сбросить весь прогресс и начать заново?	Nulstil alle fremskridt og start forfra?	Gesamten Fortschritt zurücksetzen und neu anfangen?	¿Reiniciar todo el progreso y empezar de cero?	Nollataanko kaikki edistyminen ja aloitetaan alusta?	Réinitialiser toute la progression et recommencer ?	Azzerare tutti i progressi e ricominciare?	進行をすべてリセットして最初からやり直す？	모든 진행을 초기화하고 처음부터 시작할까요?	Alle voortgang wissen en opnieuw beginnen?	Nullstille all fremgang og starte på nytt?	Zresetować cały postęp i zacząć od nowa?	Zerar todo o progresso e começar de novo?	Återställ alla framsteg och börja om?	Tüm ilerleme sıfırlanıp baştan başlansın mı?	Скинути весь прогрес і почати заново?	重置全部进度并重新开始？	要重設全部進度並重新開始嗎？
ui.resume	Resume	Продолжить	Fortsæt	Weiter	Continuar	Jatka	Reprendre	Riprendi	再開	계속하기	Verder	Fortsett	Wznów	Continuar	Fortsätt	Devam et	Продовжити	继续	繼續
ui.save	Save	Сохранить	Gem	Speichern	Guardar	Tallenna	Sauvegarder	Salva	保存	저장	Opslaan	Lagre	Zapisz	Salvar	Spara	Kaydet	Зберегти	保存	儲存
ui.saved	Saved	Сохранено	Gemt	Gespeichert	Guardado	Tallennettu	Sauvegardé	Salvato	保存済み	저장됨	Opgeslagen	Lagret	Zapisano	Salvo	Sparat	Kaydedildi	Збережено	已保存	已儲存
ui.sens_x	Horizontal sensitivity	Чувствительность по горизонтали	Vandret følsomhed	Empfindlichkeit horizontal	Sensibilidad horizontal	Vaakaherkkyys	Sensibilité horizontale	Sensibilità orizzontale	横の感度	가로 감도	Horizontale gevoeligheid	Horisontal følsomhet	Czułość w poziomie	Sensibilidade horizontal	Horisontell känslighet	Yatay hassasiyet	Чутливість по горизонталі	水平灵敏度	水平靈敏度
ui.sens_y	Vertical sensitivity	Чувствительность по вертикали	Lodret følsomhed	Empfindlichkeit vertikal	Sensibilidad vertical	Pystyherkkyys	Sensibilité verticale	Sensibilità verticale	縦の感度	세로 감도	Verticale gevoeligheid	Vertikal følsomhet	Czułość w pionie	Sensibilidade vertical	Vertikal känslighet	Dikey hassasiyet	Чутливість по вертикалі	垂直灵敏度	垂直靈敏度
ui.settings	Settings	Настройки	Indstillinger	Einstellungen	Ajustes	Asetukset	Options	Impostazioni	設定	설정	Instellingen	Innstillinger	Ustawienia	Configurações	Inställningar	Ayarlar	Налаштування	设置	設定
ui.sfx	Effects	Эффекты	Effekter	Effekte	Efectos	Tehosteet	Effets	Effetti	効果音	효과음	Effecten	Effekter	Efekty	Efeitos	Effekter	Efektler	Ефекти	音效	音效
ui.shelves	Shelves	Полки	Hylder	Fächer	Estantes	Hyllyt	Étagères	Ripiani	棚	선반	Planken	Hyller	Półki	Prateleiras	Hyllor	Raflar	Полиці	货架层	層架
ui.shuffle	Shuffle the pile	Перемешать кучу	Bland bunken	Haufen mischen	Remover el montón	Sekoita kasa	Mélanger le tas	Mescola il mucchio	山をシャッフル	더미 섞기	Stapel schudden	Bland haugen	Przemieszaj stertę	Embaralhar a pilha	Blanda högen	Yığını karıştır	Перемішати купу	打乱车堆	打亂車堆
ui.shuffling	Shuffling the pile…	Перемешиваем кучу…	Blander bunken…	Haufen wird gemischt…	Removiendo el montón…	Sekoitetaan kasaa…	Mélange du tas…	Mescolo il mucchio…	山をシャッフル中…	더미 섞는 중…	Stapel wordt geschud…	Blander haugen…	Mieszanie sterty…	Embaralhando a pilha…	Blandar högen…	Yığın karıştırılıyor…	Перемішуємо купу…	正在打乱车堆…	正在打亂車堆…
ui.slot	Slot Machine	Слот-машина	Spilleautomat	Spielautomat	Tragaperras	Hedelmäpeli	Machine à sous	Slot machine	スロットマシン	슬롯머신	Gokautomaat	Spilleautomat	Jednoręki bandyta	Caça-níquel	Enarmad bandit	Slot Makinesi	Слот-машина	老虎机	拉霸機
ui.slot_bomb	Bomb!	Бомба!	Bombe!	Bombe!	¡Bomba!	Pommi!	Bombe !	Bomba!	爆弾！	폭탄!	Bom!	Bombe!	Bomba!	Bomba!	Bomb!	Bomba!	Бомба!	炸弹！	炸彈！
ui.slot_bomb_extra	bomb	бомба	bombe	Bombe	bomba	pommi	bombe	bomba	爆弾	폭탄	bom	bombe	bomba	bomba	bomb	bomba	бомба	炸弹	炸彈
ui.slot_bonus_cd	cooldown ×{0}	откат ×{0}	cooldown ×{0}	Abklingzeit ×{0}	recarga ×{0}	palautuminen ×{0}	recharge ×{0}	ricarica ×{0}	クールダウン ×{0}	재충전 ×{0}	cooldown ×{0}	nedkjøling ×{0}	odnowienie ×{0}	recarga ×{0}	cooldown ×{0}	bekleme ×{0}	відкат ×{0}	冷却 ×{0}	冷卻 ×{0}
ui.slot_bonus_duration	duration ×{0}	действие ×{0}	varighed ×{0}	Dauer ×{0}	duración ×{0}	kesto ×{0}	durée ×{0}	durata ×{0}	効果時間 ×{0}	지속 ×{0}	duur ×{0}	varighet ×{0}	czas ×{0}	duração ×{0}	varaktighet ×{0}	süre ×{0}	дія ×{0}	时长 ×{0}	時長 ×{0}
ui.slot_bonus_radius	radius ×{0}	радиус ×{0}	radius ×{0}	Radius ×{0}	radio ×{0}	säde ×{0}	rayon ×{0}	raggio ×{0}	範囲 ×{0}	범위 ×{0}	bereik ×{0}	radius ×{0}	zasięg ×{0}	raio ×{0}	radie ×{0}	yarıçap ×{0}	радіус ×{0}	范围 ×{0}	範圍 ×{0}
ui.slot_empty	Empty. All rewards are out	Пусто. Все награды выданы	Tom. Alle præmier er væk	Leer. Alle Belohnungen sind weg	Vacía. Se han agotado los premios	Tyhjä. Kaikki palkinnot on jaettu	Vide. Toutes les récompenses ont été distribuées	Vuota. Tutti i premi sono finiti	空っぽ。報酬はすべて出た	비었어요. 보상이 모두 나갔어요	Leeg. Alle prijzen zijn op	Tomt. Alle belønninger er delt ut	Pusto. Wszystkie nagrody rozdane	Vazio. Todos os prêmios acabaram	Tomt. Alla priser är slut	Boş. Tüm ödüller dağıtıldı	Порожньо. Усі нагороди видано	空了。奖励已全部发完	空了。獎勵已全部發完
ui.slot_empty_bombs	Rewards are out. Every spin drops a bomb	Награды закончились. Каждый спин даёт бомбу	Præmierne er væk. Hvert spin giver en bombe	Belohnungen sind aus. Jeder Dreh bringt eine Bombe	Se acabaron los premios. Cada tirada suelta una bomba	Palkinnot loppuivat. Jokainen pyöräytys antaa pommin	Plus de récompenses. Chaque tour lâche une bombe	Premi finiti. Ogni giro sgancia una bomba	報酬は終了。回すたびに爆弾が出る	보상이 끝났어요. 이제 돌릴 때마다 폭탄이 나와요	Prijzen zijn op. Elke draai geeft een bom	Belønningene er brukt opp. Hvert spinn gir en bombe	Nagrody się skończyły. Każde zakręcenie daje bombę	Os prêmios acabaram. Cada giro solta uma bomba	Priserna är slut. Varje snurr ger en bomb	Ödüller bitti. Her çevirme bomba düşürür	Нагороди скінчилися. Кожен спін дає бомбу	奖励已发完。每次转动都会掉炸弹	獎勵已發完。每拉一次都會掉炸彈
ui.slot_idle	Every spin gives a reward	Каждое вращение даёт награду	Hvert spin giver en præmie	Jeder Dreh bringt eine Belohnung	Cada tirada da un premio	Jokainen pyöräytys antaa palkinnon	Chaque tour donne une récompense	Ogni giro dà un premio	回すたびに報酬がもらえる	돌릴 때마다 보상이 나와요	Elke draai geeft een prijs	Hvert spinn gir en belønning	Każde zakręcenie daje nagrodę	Cada giro dá um prêmio	Varje snurr ger ett pris	Her çevirme bir ödül verir	Кожне обертання дає нагороду	每转一次都有奖励	每拉一次都有獎勵
ui.slot_prizes	Prizes	Призы	Præmier	Preise	Premios	Palkinnot	Lots	Premi	賞品	상품	Prijzen	Premier	Nagrody	Prêmios	Priser	Ödüller	Призи	奖品	獎品
ui.slot_remaining	Rewards left: {0}	Осталось наград: {0}	Præmier tilbage: {0}	Belohnungen übrig: {0}	Premios restantes: {0}	Palkintoja jäljellä: {0}	Récompenses restantes : {0}	Premi rimasti: {0}	残り報酬: {0}	남은 보상: {0}	Prijzen over: {0}	Belønninger igjen: {0}	Pozostało nagród: {0}	Prêmios restantes: {0}	Priser kvar: {0}	Kalan ödül: {0}	Залишилось нагород: {0}	剩余奖励：{0}	剩餘獎勵：{0}
ui.special_done	All parts installed	Все детали установлены	Alle dele monteret	Alle Teile eingebaut	Todas las piezas instaladas	Kaikki osat asennettu	Toutes les pièces sont installées	Tutti i pezzi montati	パーツはすべて取り付け済み	모든 부품 장착 완료	Alle onderdelen geplaatst	Alle deler montert	Wszystkie części zamontowane	Todas as peças instaladas	Alla delar monterade	Tüm parçalar takıldı	Усі деталі встановлено	所有零件已装好	所有零件已裝好
ui.special_hold	Hold to upgrade	Удерживай, чтобы улучшить	Hold nede for at opgradere	Halten zum Aufrüsten	Mantén pulsado para mejorar	Pidä pohjassa päivittääksesi	Maintiens pour améliorer	Tieni premuto per potenziare	長押しで強化	길게 눌러 업그레이드	Houd vast om te upgraden	Hold inne for å oppgradere	Przytrzymaj, aby ulepszyć	Segure para melhorar	Håll in för att uppgradera	Geliştirmek için basılı tut	Утримуй, щоб покращити	长按升级	長按升級
ui.special_level	Upgrades: {0}/{1}	Улучшений: {0}/{1}	Opgraderinger: {0}/{1}	Upgrades: {0}/{1}	Mejoras: {0}/{1}	Päivitykset: {0}/{1}	Améliorations : {0}/{1}	Potenziamenti: {0}/{1}	強化: {0}/{1}	업그레이드: {0}/{1}	Upgrades: {0}/{1}	Oppgraderinger: {0}/{1}	Ulepszenia: {0}/{1}	Melhorias: {0}/{1}	Uppgraderingar: {0}/{1}	Geliştirmeler: {0}/{1}	Покращень: {0}/{1}	升级：{0}/{1}	升級：{0}/{1}
ui.special_max	Maxed out	Максимум	Maksimalt	Voll ausgebaut	Al máximo	Maksimissa	Au maximum	Al massimo	最大強化済み	최대치	Maximaal	Maks nivå	Maksimum	No máximo	Maxad	Maksimumda	Максимум	已满级	已滿級
ui.special_next	Next part: {0}	Следующая деталь: {0}	Næste del: {0}	Nächstes Teil: {0}	Siguiente pieza: {0}	Seuraava osa: {0}	Pièce suivante : {0}	Prossimo pezzo: {0}	次のパーツ: {0}	다음 부품: {0}	Volgend onderdeel: {0}	Neste del: {0}	Następna część: {0}	Próxima peça: {0}	Nästa del: {0}	Sonraki parça: {0}	Наступна деталь: {0}	下一个零件：{0}	下一個零件：{0}
ui.spin	Spin · ${0}	Крутить · ${0}	Spin · ${0}	Drehen · ${0}	Tirar · ${0}	Pyöräytä · ${0}	Tourner · ${0}	Gira · ${0}	回す · ${0}	돌리기 · ${0}	Draaien · ${0}	Spinn · ${0}	Zakręć · ${0}	Girar · ${0}	Snurra · ${0}	Çevir · ${0}	Крутити · ${0}	转动 · ${0}	拉霸 · ${0}
ui.terminal	Upgrade Terminal	Терминал улучшений	Opgraderingsterminal	Upgrade-Terminal	Terminal de mejoras	Päivitysterminaali	Terminal d'améliorations	Terminale potenziamenti	強化ターミナル	업그레이드 터미널	Upgradeterminal	Oppgraderingsterminal	Terminal ulepszeń	Terminal de melhorias	Uppgraderingsterminal	Geliştirme Terminali	Термінал покращень	升级终端	升級終端機
ui.unstuck	Return stuck cars	Вернуть застрявшие машинки	Hent fastkørte biler tilbage	Hängende Autos zurückholen	Recuperar coches atascados	Palauta jumittuneet autot	Récupérer les voitures coincées	Recupera le auto incastrate	はまった車を戻す	끼인 차 되돌리기	Vastzittende auto's terughalen	Hent tilbake biler som sitter fast	Przywróć zablokowane samochodziki	Devolver carrinhos presos	Hämta tillbaka fastnade bilar	Sıkışan arabaları geri getir	Повернути застряглі машинки	找回卡住的车	找回卡住的車
ui.vibration	Vibration	Вибрация	Vibration	Vibration	Vibración	Värinä	Vibration	Vibrazione	振動	진동	Trilling	Vibrering	Wibracje	Vibração	Vibration	Titreşim	Вібрація	震动	震動
ui.yes	Yes, reset	Да, сбросить	Ja, nulstil	Ja, zurücksetzen	Sí, reiniciar	Kyllä, nollaa	Oui, réinitialiser	Sì, azzera	リセットする	네, 초기화	Ja, wissen	Ja, nullstill	Tak, resetuj	Sim, zerar	Ja, återställ	Evet, sıfırla	Так, скинути	是，重置	是，重設
upg_autocollect.desc	Key 2: pulls the same cars nearby into your inventory	Клавиша 2: затягивает такие же машинки поблизости в инвентарь	Tast 2: trækker ens biler i nærheden ind i dit inventar	Taste 2: zieht gleiche Autos in der Nähe in dein Inventar	Tecla 2: atrae los coches iguales cercanos a tu inventario	Näppäin 2: vetää lähellä olevat samanlaiset autot inventaarioosi	Touche 2 : attire les mêmes voitures à proximité dans ton inventaire	Tasto 2: attira le auto uguali nelle vicinanze nel tuo inventario	キー2: 近くの同じ車をインベントリに引き寄せる	2번 키: 근처의 같은 차를 인벤토리로 끌어와요	Toets 2: trekt dezelfde auto's in de buurt naar je inventaris	Tast 2: trekker like biler i nærheten inn i inventaret	Klawisz 2: przyciąga takie same samochodziki z okolicy do ekwipunku	Tecla 2: puxa carrinhos iguais por perto para o inventário	Tangent 2: drar in likadana bilar i närheten till ditt inventarie	Tuş 2: yakındaki aynı arabaları envanterine çeker	Клавіша 2: затягує такі ж машинки поблизу в інвентар	按键 2：把附近的同款车吸进背包	按鍵 2：把附近的同款車吸進背包
upg_autocollect.name	Auto-collect	Автосбор совпадений	Auto-opsamling	Auto-Sammeln	Autorrecogida	Automaattikeräys	Collecte auto	Raccolta automatica	自動回収	자동 수집	Auto-verzamelen	Autosamling	Autozbieranie	Coleta automática	Autoplock	Otomatik toplama	Автозбір	自动收集	自動收集
upg_autoplace.desc	A car thrown into its rack snaps onto a shelf	Брошенная в свой стеллаж машинка сама встаёт на полку	En bil kastet ind i sin reol sætter sig selv på en hylde	Ein ins richtige Regal geworfenes Auto rastet im Fach ein	Un coche lanzado a su estantería se coloca solo en un estante	Omaan hyllykköönsä heitetty auto napsahtaa hyllylle	Une voiture lancée dans son rayonnage se range toute seule sur une étagère	Un'auto lanciata nel suo scaffale si sistema da sola sul ripiano	ラックに投げ込んだ車が自動で棚に収まる	제 진열대에 던진 차가 알아서 선반에 놓여요	Een auto die je in de juiste stelling werpt, klikt vast op een plank	En bil kastet i riktig reol setter seg på en hylle selv	Samochodzik rzucony w swój regał sam trafia na półkę	Um carrinho jogado na estante certa encaixa sozinho na prateleira	En bil som kastas in i rätt hylla hamnar själv på ett hyllplan	Kendi raf ünitesine fırlatılan araba rafa kendiliğinden oturur	Кинута у свій стелаж машинка сама стає на полицю	扔进对应货架的车会自动上架	丟進對應貨架的車會自動上架
upg_autoplace.name	Auto-place on throw	Авторасстановка при броске	Auto-placering ved kast	Auto-Ablegen beim Werfen	Autocolocación al lanzar	Autoasettelu heitosta	Rangement auto au lancer	Posizionamento automatico al lancio	投げて自動配置	던지면 자동 배치	Auto-plaatsen bij werpen	Autoplassering ved kast	Autoustawianie przy rzucie	Encaixe automático ao jogar	Autoplacering vid kast	Fırlatmada otomatik yerleştirme	Автостановлення при кидку	投掷自动上架	丟擲自動上架
upg_crouch.desc	Hold Ctrl to crouch under shelves	Присед на Ctrl, чтобы собирать под полками	Hold Ctrl for at dukke dig under hylderne	Halte Strg, um dich unter Regale zu ducken	Mantén Ctrl para agacharte bajo los estantes	Pidä Ctrl pohjassa kyykistyäksesi hyllyjen alle	Maintiens Ctrl pour t'accroupir sous les étagères	Tieni premuto Ctrl per abbassarti sotto i ripiani	Ctrl長押しでしゃがんで棚の下を探せる	Ctrl을 길게 눌러 선반 아래로 앉을 수 있어요	Houd Ctrl vast om onder planken te bukken	Hold Ctrl for å huke deg under hyllene	Trzymaj Ctrl, aby kucać pod półkami	Segure Ctrl para agachar sob as prateleiras	Håll in Ctrl för att huka under hyllorna	Rafların altına eğilmek için Ctrl'ye basılı tut	Утримуй Ctrl, щоб присідати під полицями	按住 Ctrl 蹲下，钻到货架底下	按住 Ctrl 蹲下，鑽到貨架底下
upg_crouch.name	Unlock crouch	Открыть присед	Lås op for duk	Ducken freischalten	Desbloquear agacharse	Avaa kyykistyminen	Débloquer l'accroupissement	Sblocca accovacciamento	しゃがみ解放	앉기 해금	Bukken ontgrendelen	Lås opp huking	Odblokuj kucanie	Liberar agachar	Lås upp huka	Eğilmeyi aç	Відкрити присід	解锁蹲下	解鎖蹲下
upg_dup_highlight.desc	Key 1: matching cars in the pile glow and float up	Клавиша 1: такие же машинки в куче подсвечиваются и поднимаются в воздух	Tast 1: ens biler i bunken lyser op og svæver	Taste 1: gleiche Autos im Haufen leuchten und schweben hoch	Tecla 1: los coches iguales del montón brillan y flotan	Näppäin 1: samanlaiset autot kasassa hohtavat ja nousevat ilmaan	Touche 1 : les mêmes voitures dans le tas brillent et s'élèvent	Tasto 1: le auto uguali nel mucchio brillano e si sollevano	キー1: 山の中の同じ車が光って浮き上がる	1번 키: 더미 속 같은 차가 빛나며 떠올라요	Toets 1: dezelfde auto's in de stapel gloeien en zweven omhoog	Tast 1: like biler i haugen lyser og svever opp	Klawisz 1: pasujące samochodziki w stercie świecą i unoszą się w górę	Tecla 1: carrinhos iguais na pilha brilham e flutuam	Tangent 1: likadana bilar i högen lyser och svävar upp	Tuş 1: yığındaki eşleşen arabalar parlar ve havaya kalkar	Клавіша 1: такі ж машинки в купі світяться й злітають угору	按键 1：车堆里的同款车会发光并浮起	按鍵 1：車堆裡的同款車會發光並浮起
upg_dup_highlight.name	Find matches	Поиск совпадений	Find ens biler	Gleiche finden	Buscar iguales	Etsi vastaavat	Trouver les mêmes	Trova uguali	同じ車を探す	같은 차 찾기	Gelijke zoeken	Finn like	Znajdź pasujące	Encontrar iguais	Hitta lika	Eşleşenleri bul	Пошук збігів	查找同款	尋找同款
upg_inventory.desc	+1 slot per level, up to 15	+1 слот за уровень, максимум 15	+1 plads pr. niveau, op til 15	+1 Platz pro Stufe, bis zu 15	+1 hueco por nivel, hasta 15	+1 paikka per taso, enintään 15	+1 emplacement par niveau, jusqu'à 15	+1 slot per livello, fino a 15	レベルごとに枠 +1、最大15	레벨당 슬롯 +1, 최대 15	+1 vak per level, tot 15	+1 plass per nivå, opptil 15	+1 miejsce za poziom, maks. 15	+1 espaço por nível, até 15	+1 plats per nivå, upp till 15	Seviye başına +1 yuva, en fazla 15	+1 слот за рівень, максимум 15	每级 +1 格，最多 15 格	每級 +1 格，最多 15 格
upg_inventory.name	Bigger inventory	Больший инвентарь	Større inventar	Größeres Inventar	Inventario más grande	Suurempi inventaario	Inventaire agrandi	Inventario più grande	インベントリ拡張	인벤토리 확장	Grotere inventaris	Større inventar	Większy ekwipunek	Inventário maior	Större inventarie	Daha büyük envanter	Більший інвентар	更大背包	更大背包
upg_range.desc	Take and place cars from farther away	Брать и ставить машинки с большего расстояния	Tag og sæt biler fra længere væk	Autos aus größerer Entfernung nehmen und ablegen	Coge y coloca coches desde más lejos	Ota ja aseta autoja kauempaa	Prends et pose les voitures de plus loin	Prendi e metti le auto da più lontano	もっと遠くから車を取ったり置いたりできる	더 멀리서 차를 잡고 놓을 수 있어요	Pak en plaats auto's van verder weg	Ta og sett biler fra lengre avstand	Bierz i stawiaj samochodziki z większej odległości	Pegue e coloque carrinhos de mais longe	Ta och ställ bilar på längre håll	Arabaları daha uzaktan al ve koy	Брати й ставити машинки з більшої відстані	从更远处拿取和放置车辆	從更遠處拿取和放置車輛
upg_range.name	Longer reach	Большая дальность	Længere rækkevidde	Größere Reichweite	Mayor alcance	Pidempi ulottuvuus	Portée accrue	Portata maggiore	リーチ延長	사거리 증가	Groter bereik	Lengre rekkevidde	Większy zasięg	Alcance maior	Längre räckvidd	Daha uzun erişim	Більша дальність	更远距离	更遠距離
